id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,47jpab5,DIGURAH - gurah tetes hidung original - gurah cair - gurah asli - jamu obat terapi penyakit herbal alami gurah hidung Lancarkan pernafasan,Produk Kesehatan Lainnya,Baru,4.7,15,9796249,16,3014,0,50100,50100,0,Gurah Tetes Hidung Az Zahra Original yaa...Dijamin !!<br><br/><br><br/>Untuk Pria dan Wanita - Khusus Dewasa<br><br/><br><br/>Merupakan pengobatan tradisional asli indonesia dan solusi kesehatan aman yang terbukti sejak zaman nenek moyang diwarisi secara turun temurun sehingga sampai kepada kita<br><br/><br><br/>Khasiat :<br><br/>- Menjernihkan suara<br><br/>- Mengencerkan dahak<br><br/>- Mengobati flu dan bronchitis<br><br/>- Mengobati sinusitis dan polip<br><br/>- Mengobati sakit kepala sebelah (migrain)<br><br/>- Mengobati sakit kepala menahun<br><br/>- Mengobati sesak nafas dan asma<br><br/>- Meningkatkan daya pikir<br><br/><br><br/>Komposisi : <br><br/>- Madu 25%<br><br/>- Sari kurma 15%<br><br/>- Srigunggu 30%<br><br/>- Bahan lain sampai 100%<br><br/><br><br/>Dinkes P.IRT No. 2133172010237-18<br><br/>Diproduksi oleh : CV. Az Zahra Group
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,47jolz6,GURAH TETES HIDUNG - Tenggorokan Sinusitis Sesak Nafas Terbukti bermanfaat - digurah BPOM - Obat Herbal Pernafasan Flu Batuk Asma,Produk Kesehatan Lainnya,Baru,5,77,9776158,89,23103,0,50100,50100,0,"GURAH TETES HIDUNG AZ ZAHRA<br><br/><br><br/>adalah...Ramuan Racikan Herbal yang telah dibuat khusus bagi peracik untuk gurah hidung yang mana cara tetes langsung ini secara empiris mampu cepat mengelurkan kotoran2 ( kuman penyakit ) dari hidung dan dalam tubuh seseorang secara langsung keluar dari hidung dan cara Proses DETOXIFIKASI ( pembersihan organ tubuh dari lendir negatif) dengan cara membersihkan dan mengeluarkan lendir yang bersifat negatif yang mengandung berbagai kuman penyakit dari dalam tubuh dengan cara, meneteskan ramuan khusus ke dalam merupakan cara pengobatan tradisional yang diwariskan secara turun-temurun.<br><br/>Dulu praktek pengobatan Gurah ini lebih dikenal khususnya oleh kalangan Pesilat, Ahli Meditasi ( pertapa) Dalang dan Pesinden yang menginginkan suaranya nyaring, serta dimanfaatkan oleh Guru mengaji untuk menggurah para santrinya agar suaranya bagus dan merdu dalam membaca ayat-ayat suci Al-Qur an, yang kemudian belakangan ini...sangat marak dikenal dan dilakukan oleh para Penyanyi.<br><br/>Selain bermanfaat bagi mereka yang memang memerlukan suara bagus dan untuk perawatan kesehatan organ tubuh...Ber-GURAH juga sangat bermanfaat untuk membantu mengobati berbagai penyakit.....<br><br/><br><br/>TATA CARA Ber-GURAH<br><br/><br><br/>Tata cara proses terapi secara Tradisional adalah sebagai berikut... Mula-mula pasien dalam keadaan terlentang dengan kondisi tenang dan santai, lalu ditetesi hidungnya dengan ramuan Gurah...kemudian pasien disuruh tengkurap.Khasiat ramuan tadi akan membuat semua syaraf tubuh bereaksi menekan, mendorong dan mengeluarkan lendir kotor yang mengandung kuman penyakit, virus, bakteri dan kotoran lainnya. Lendir akan keluar lewat rongga hidung...mulut, maupun...air Gurah ini tidak sakit ( relatif dan tergantung ketenangan pasien ) dan hanya membutuhkan waktu lebih kurang 1 jam untuk sekali Terapi Gurah."
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,44j7yki,PESENAN KHUSUS,Produk Kesehatan Lainnya,Baru,5,1,1,2,1,0,150000,150000,0,"Pesenan khusus<br><br/>silahkan di Order mbak / mas, barang ready dan langsung saya kirimkan hari ini,,,"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,40ysk5g,JAMU OBAT PEGAL-PEGAL LINU dan HERBAL OBAT REMATIK Pegel linu - Sendi otot sakit ASAM urat - kram kaki otot,Vitamin,Baru,4.8,4,9999755,3,18,0,73500,73500,0,"DETAIL : <br><br/><br><br/>TWONN dg kemasan HIJAU<br><br/><br><br/>Harga per BOX<br><br/><br><br/>- Pengiriman AMAN , CEPAT DAN RAPIH <br><br/>- HARGA KHUSUS untuk pembelian dalam jumlah banyak, silakan hubungi kontak kami <br><br/><br><br/>KHASIAT DAN KEGUNAAN :<br><br/>- Mengobati Asam urat<br><br/>- Mengobati Pegal Linu<br><br/>- Mengobati Rheumatik<br><br/>- Menurunkan Kolestrol<br><br/>- Melenturkan otot yang kaku<br><br/>- Mengatasi kaki dan tangan Bengkak - bengkak<br><br/>- Menjaga tubuh tetap fit dan segar<br><br/><br><br/>ATURAN MINUM :<br><br/>Untuk Pengobatan : 2 x sehari, 2kapsul<br><br/>Untuk Pencegahan : 1 x sehari 2 kapsul <br><br/><br><br/>Perhatian:<br><br/>Hindari makanan kacang-kacangan"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,403vvhn,ALQURAN KHUSUS HAFALAN - Al-Quran tajwid Bukhara Ukuran A6 ALQURAN SYAAMIL SAKU RESLETING di Lengkapi dg Asbabun Nuzul quran,Buku Lainnya,Baru,5,7,9799225,59,200775,0,200000,200000,0,"Alquran Bukhara<br><br/>Ukuran : 9,5 x 13,5 cm (A6)<br><br/>Isi : 632 halaman<br><br/>Sampul : Kulit resleting<br><br/>Dilengkapi Tajwid Warna"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,402pn1j,THAI Sabun Goats Milk Soap - Thai Goats Milk Soap 50gr - Sabun Susu Kambing BPOM - sabun kambing - sabun susu - pemutih kulit alami,Produk Kesehatan Lainnya,Baru,4.7,15,9799181,31,200819,0,50100,50100,0,"Detail produk dari Leivy - Goat's Milk Soap Bar - Original - Sabun Batang - Sabun Pemutih Badan<br><br/>Sabun Mandi Ini Mengandung 2x Lipat Manfaat Susu.<br><br/>Menutrisi, Memutihkan, Melembabkan, Mengencangkan Kulit<br><br/>Mencegah Penuaan, Menghilangkan Keriput<br><br/>Membuat Kulit Menjadi Lebih Halus<br><br/>Memberikan Perlindungan Untuk Kulit Dari Serangan Virus &amp; Bakteri<br><br/>Memberikan Aroma Yang Kuat Dan Tahan Lama<br><br/>Memiliki Double Moisturizing Dari Susu Kambing Serta Vitamin A, B &amp; E, Protein, Mineral Sehingga Tidak Membuat Kulit Kering"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,402p0a8,Lievy - Goats milk soap bar - Original sabun goats milk - sabun batang - sabun pemutih - setara dg skinklin - skin klin - klinskin,Produk Kesehatan Lainnya,Baru,5,4,9799200,9,200800,0,50100,50100,0,"Detail produk dari Leivy - Goat's Milk Soap Bar - Original - Sabun Batang - Sabun Pemutih Badan<br><br/>Sabun Mandi Ini Mengandung 2x Lipat Manfaat Susu.<br><br/>Menutrisi, Memutihkan, Melembabkan, Mengencangkan Kulit<br><br/>Mencegah Penuaan, Menghilangkan Keriput<br><br/>Membuat Kulit Menjadi Lebih Halus<br><br/>Memberikan Perlindungan Untuk Kulit Dari Serangan Virus &amp; Bakteri<br><br/>Memberikan Aroma Yang Kuat Dan Tahan Lama<br><br/>Memiliki Double Moisturizing Dari Susu Kambing Serta Vitamin A, B &amp; E, Protein, Mineral Sehingga Tidak Membuat Kulit Kering"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,402msjj,Obat Herbal Gurah Tenggorokan Sinusitis Sesak Nafas Terbukti bermanfaat - Kapsul Gurah BPOM - Obat Herbal Pernafasan Flu Batuk Asma,Produk Kesehatan Lainnya,Baru,5,16,9799247,33,200753,0,77100,77100,0,"Kapsul gurah adalah membersihkan dan mengeluarkan lendir yang kotor, beracun, dan mengandung berbagai kuman penyakit dalam tubuh.<br><br/><br><br/>Gurah dengan Kapsul<br><br/>Dengan cara minum ramuan khusus yang sudah dikemas dalam bentuk kapsul. Kapsul gurah ini terbuat dari daun srigunggu dan akar pelarut lendir.<br><br/><br><br/>Komposisi :<br><br/>Tiap Kapsul mengandung :<br><br/>- Andrographidus Herba 100 mg<br><br/>- Zingiberis Officinale Rhiz 110 mg<br><br/>- Curcuma Domesticae Rhizoma 110 mg<br><br/>- Kaemferiae Rhizoma 110 mg<br><br/>- Capsici Fructus 70 mg<br><br/>- Clerodendron Serratum Folium 50 mg<br><br/><br><br/>Khasiat :<br><br/>- Membantu meredakan batuk dan melegakan pernafasan<br><br/>- Membantu meredakan flu, pilek dan asma<br><br/>- Membantu menjadikan suara merdu &amp; nyaring, baik untuk penyanyi, qori, qori'ah &amp; ahli pidato<br><br/><br><br/>Aturan pakai :<br><br/>3 kali sehari 2 kapsul sekali telan, pagi setelah sarapan, siang setelah makan siang dan malam sebelum tidur.<br><br/><br><br/>Isi 30 kapsul @ 550mg<br><br/>Izin Depkes RI : POM TR 033-318-511<br><br/>Produksi : QOLBUN SALIM<br><br/>Yogyakarta - Indonesia"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,402m2yf,Sigurah - DIGURAH - GURAH kesehatan As-syifa bersihkan Lendir - atasi batuk - pilek - Suara pernafasan,Produk Kesehatan Lainnya,Baru,5,7,9799672,6,200328,0,77100,77100,0,"Kapsul gurah adalah membersihkan dan mengeluarkan lendir yang kotor, beracun, dan mengandung berbagai kuman penyakit dalam tubuh.<br><br/><br><br/>Gurah dengan Kapsul<br><br/>Dengan cara minum ramuan khusus yang sudah dikemas dalam bentuk kapsul. Kapsul gurah ini terbuat dari daun srigunggu dan akar pelarut lendir.<br><br/><br><br/>Komposisi :<br><br/>Tiap Kapsul mengandung :<br><br/>- Andrographidus Herba 100 mg<br><br/>- Zingiberis Officinale Rhiz 110 mg<br><br/>- Curcuma Domesticae Rhizoma 110 mg<br><br/>- Kaemferiae Rhizoma 110 mg<br><br/>- Capsici Fructus 70 mg<br><br/>- Clerodendron Serratum Folium 50 mg<br><br/><br><br/>Khasiat :<br><br/>- Membantu meredakan batuk dan melegakan pernafasan<br><br/>- Membantu meredakan flu, pilek dan asma<br><br/>- Membantu menjadikan suara merdu &amp; nyaring, baik untuk penyanyi, qori, qori'ah &amp; ahli pidato<br><br/><br><br/>Aturan pakai :<br><br/>3 kali sehari 2 kapsul sekali telan, pagi setelah sarapan, siang setelah makan siang dan malam sebelum tidur.<br><br/><br><br/>Isi 30 kapsul @ 550mg<br><br/>Izin Depkes RI : POM TR 033-318-511<br><br/>Produksi : QOLBUN SALIM<br><br/>Yogyakarta - Indonesia"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,401dxxk,PI KANG WANG Original - Salep KL salep BL salep PKW asli - Obat gatal Kulit exsim Eksim Menahun - gatal herpes panu kudis kadas kurap,Produk Kesehatan Lainnya,Baru,5,398,999086876,259,622729,0,77100,77100,0,"READY STOCK!!!<br><br/><br><br/><br><br/>TERBUKTI AMPUH MENGOBATI !!!<br><br/>01. Eksim kering / basah <br><br/>02. Panu ringan<br><br/>03. Infeksi jamur pada lipatan paha<br><br/>04. Mengobati gatal-gatal di selangkangan<br><br/>05. Kadas di kaki / tangan<br><br/>06. Kudis / kudisan<br><br/>07. Kurap<br><br/>08. Kutu air di sela-sela jari kaki / kapal<br><br/>09. Alergi yang disebabkan bakteri<br><br/>10. Herpes di badan / wajah / kemaluan<br><br/>11. Aman digunakan untuk kulit sensitif<br><br/>12. Mengobati Jerawat dengan cepat<br><br/>13. Mudah meresap<br><br/>14. Tidak lengket<br><br/>15. Tidak panas dikulit<br><br/>16. Tidak membuat kulit iritasi <br><br/>17. Tidak membuat kulit gosong / hitam<br><br/>18. Aroma wangi / Aromaterapi<br><br/>19. Aman untuk segala usia <br><br/>20. Khasiat 5 x lebih ampuh <br><br/>21. Buktikan khasiat dan keampuhannya.<br><br/>22. Solusi masalah kulit menahun anda bisa di atasi.<br><br/><br><br/>PERHATIAN :<br><br/>Obat / cream hanya akan bekerja untuk penyakit kulit yg disebabkan bakteri / jamur pada kulit.<br><br/><br><br/>Peking aman dan rapih<br><br/><br><br/>( HARGA KAKI LIMA, KUALITAS BINTANG LIMA )<br><br/><br><br/>Jika anda belum sempat pergi ke Dokter kulit, tidak ada salahnya mencoba, membuktikan khasiat dan keampuhan salep ini<br><br/><br><br/>CARA PEMAKAIAN :<br><br/>Bersihkan dengan air hangat, lap hingga kering, oleskan tipis dan secara merata.<br><br/>( 3x1 )<br><br/><br><br/>PENYIMPANAN :<br><br/>Simpan ditempat yang kering <br><br/>Hindari sinar matahari langsung <br><br/>Suhu penyimpanan -30<br><br/><br><br/>HIMBAUAN : <br><br/>( untuk anak-anak harus dalam pengawasan )<br><br/><br><br/>Kemasan : Isi 7 gr, cream.<br><br/><br><br/>Kemasan / lebel produk dapat berubah, Kami kirim sesuai stok yg ada!!!"
